Code,Room Type,Room Size,Bed Configuration,Max Occupancy,Room Price
99,Double Room,215,1 king bed,19,97
99,Deluxe Double Room with Shower,215,1 twin bed,19,103
99,Double Room with Balcony,215,2 full beds,19,93
99,Double Room with Mountain View,258,1 king bed,19,103
99,Triple Room,194,1 king bed,19,98
99,Double Room with Private Bathroom,172,1 queen bed,19,103
100,Three-Bedroom Villa,2368,N/A,1,255
101,"Villa, Villa, Villa, Villa","398, 969, 969, 969",N/A,42,"54, 46, 84, 89, 97, 105, 110, 118, 77, 84, 89, 97, 105, 110, 118, 77, 84, 89, 97, 105, 110, 118, 77"
102,4-Bed Mixed Dormitory Room,377,"2 twin beds and, 1 full bed",26,20
102,Twin Room,377,2 twin beds,26,30
102,Twin Room,377,2 twin beds,26,40
102,4-Bed Mixed Dormitory Room,377,4 twin beds,26,10
103,Deluxe Double Room with Balcony,1,1 queen bed,12,43
103,Double Room with Private Bathroom,323,1 queen bed,12,43
103,Superior Twin Room,1,2 twin beds,12,43
103,Twin Room with Private Bathroom,226,2 twin beds,12,43
103,Double Room with Extra Bed,1,"1 twin bed and, 1 full bed",12,51
103,Studio with Mountain View,248,6 twin beds,12,92
104,One-Bedroom Apartment,N/A,N/A,3,"30, 16"
105,Standard Double or Twin Room,1,1 full bed,111,69
105,Comfort Double or Twin Room,215,2 twin beds,111,101
105,Standard Double or Twin Room with Balcony,1,"1 full bed and, 1 sofa bed",111,133
105,Deluxe Double or Twin Room,237,1 full bed,111,59
105,Duplex Suite,1,2 twin beds,111,87
105,Cottage,183,"1 full bed and, 1 sofa bed",111,119
105,Two-Bedroom Cottage,1,"2 twin beds and, 1 sofa bed",111,75
106,Standard Twin Room,1,2 twin beds,32,95
106,Standard Double Room,215,1 queen bed,32,130
106,Deluxe Double Room,1,2 twin beds,32,110
106,Suite,269,1 queen bed,32,146
106,Superior Quadruple Room,1,2 twin beds,32,130
106,Family Suite,377,"2 twin beds and, 1 queen bed",32,166
107,One-Bedroom Apartment,560,N/A,9,"72, 82, 86"
108,Budget Double Room,1,1 queen bed,30,53
108,Standard King Room,215,1 king bed,30,78
108,Comfort Quadruple Room,1,"2 twin beds and, 1 queen bed",30,63
108,Duplex Quadruple Room,269,"2 twin beds and, 1 queen bed",30,82
109,"One-Bedroom Villa, Two-Bedroom Villa, Three-Bedroom Villa, Deluxe Villa, Superior Villa","538, 753, 1292, 1830, 3014",N/A,19,"38, 40, 43, 58, 84, 100, 115, 115, 130, 146, 153"
110,King Room,269,1 queen bed,44,46
110,King Room with Balcony,215,1 full bed,44,55
110,Superior King Room,323,1 queen bed,44,41
111,One-Bedroom Apartment,N/A,N/A,6,"37, 41, 33"
112,One-Bedroom Apartment,646,N/A,10,"62, 71, 79, 88"
113,Deluxe Double Room,1,"1 sofa bed and, 1 queen bed",22,61
113,Deluxe Twin Room,323,"2 twin beds and, 1 sofa bed",22,82
114,Standard Double Room,1,1 king bed,42,38
114,Standard Twin Room,291,2 twin beds,42,56
114,Deluxe Family Room,1,"1 twin bed and, 1 king bed and, 1 sofa bed",42,73
114,Deluxe Double or Twin Room with Balcony,291,"1 king bed and, 1 sofa bed",42,38
114,Superior Suite,1,"2 twin beds and, 1 sofa bed",42,56
115,One-Bedroom Apartment,334,N/A,9,"32, 33, 31, 34"
116,Apartment,667,N/A,6,"46, 51, 41"
117,Three-Bedroom Apartment,861,N/A,4,61
118,Two-Bedroom House,764,N/A,1,140
119,One-Bedroom Apartment,495,N/A,6,"57, 64, 51"
120,One-Bedroom Apartment,732,N/A,10,"41, 43, 48, 38"
121,"Villa with Private Pool, Deluxe Villa","1453, 3229",N/A,2,"383, 588"
122,One-Bedroom Apartment,N/A,N/A,3,"56, 51"
123,One-Bedroom Apartment,646,N/A,3,38
124,Two-Bedroom Apartment,1292,N/A,4,77
125,Cottage,646,N/A,1,115
126,Superior Chalet,1076,N/A,1,153
127,Standard Queen Room,1,1 queen bed,43,85
127,Double Room,226,"1 king bed and, 1 sofa bed",43,108
127,Twin Room,1,"2 twin beds and, 1 sofa bed",43,101
127,Deluxe King Room,291,"1 king bed and, 1 sofa bed",43,124
128,Double or Twin Room,1,1 king bed,26,37
128,Suite,215,2 twin beds,26,46
128,Family Room,377,2 king beds,26,61
128,Duplex Suite,1,1 twin bed,26,72
129,One-Bedroom Apartment,334,N/A,6,"51, 51"
130,One-Bedroom Apartment,N/A,N/A,10,"35, 37, 41, 33"
131,One-Bedroom Apartment,377,N/A,6,"61, 68, 66"
132,Studio with Balcony,377,"1 full bed and, 1 sofa bed",2,64
133,Two-Bedroom House,753,N/A,1,89
134,Studio Apartment with Balcony,431,1 full bed,4,56
134,Superior Studio,431,1 full bed,4,140
135,Chalet,3057,N/A,1,255
136,One-Bedroom Apartment,301,N/A,2,51
137,One-Bedroom Apartment,517,N/A,4,59
138,"Villa, Villa, Villa, Two-Bedroom Apartment, Three-Bedroom Villa","1615, 2153, 2153, 2153, 2153",N/A,6,"74, 74, 87, 83, 92, 87"
139,One-Bedroom Apartment,527,N/A,10,"54, 57, 64, 51"
140,Deluxe Double Room with Balcony,334,1 queen bed,2,60
141,One-Bedroom Apartment,517,N/A,10,"46, 49, 54, 43"
142,Three-Bedroom House,1507,N/A,2,"179, 181"
143,One-Bedroom Apartment,366,N/A,5,"51, 56"
144,One-Bedroom Apartment,398,N/A,7,"46, 51"
145,Three-Bedroom Apartment,689,N/A,1,64
146,One-Bedroom Apartment,517,N/A,4,59
147,One-Bedroom Apartment,538,N/A,2,64
148,Large Double Room,1,1 queen bed,3,79
148,Two-Bedroom Villa,269,1 queen bed,3,128
149,Deluxe Apartment,344,N/A,3,57
150,Twin Room with Shower,226,2 twin beds,4,31
150,Double Room,377,1 bunk bed,4,36
151,One-Bedroom Apartment,431,N/A,10,"39, 41, 46, 37"
152,Three-Bedroom House,3229,N/A,6,"122, 136, 136, 151"
153,Apartment,753,N/A,10,"102, 109, 115, 128"
154,One-Bedroom Apartment,560,N/A,19,"57, 64, 66, 73, 69, 77, 62"
155,Standard Double or Twin Room,1,"1 king bed and, 1 sofa bed",33,56
155,Deluxe Double Room,209,"2 twin beds and, 1 sofa bed",33,76
155,One-Bedroom Suite,371,"1 king bed and, 1 sofa bed",33,69
156,Superior Villa,3714,N/A,1,307
157,"Chalet, Chalet, Chalet","1292, 1313, 1528",N/A,9,"332, 358, 383"
158,Twin Room,180,2 twin beds,4,38
158,Deluxe Double Room,344,1 full bed,4,51
159,Deluxe Double Room,323,"1 full bed and, 1 sofa bed",29,36
159,Double Room,269,"1 full bed and, 1 sofa bed",29,36
159,Deluxe Double Room,323,"1 twin bed and, 1 full bed",29,36
159,Family Room,377,"1 full bed and, 1 sofa bed",29,41
159,Family Room,377,1 full bed,29,41
159,Family Suite,484,"1 full bed and, 1 sofa bed",29,46
159,Family Suite,431,"1 full bed and, 1 sofa bed",29,56
160,Budget Double Room,161,3 twin beds,23,51
160,Twin Room,161,3 twin beds,23,41
160,Deluxe Twin Room,194,4 twin beds,23,51
160,One-Bedroom Suite,172,1 twin bed,23,41
160,Triple Room,194,1 queen bed,23,61
160,Deluxe Triple Room,215,2 twin beds,23,49
161,One-Bedroom Apartment,344,N/A,2,56
162,Villa,2153,N/A,1,255
163,One-Bedroom Apartment,538,N/A,10,"65, 69, 77, 61"
164,Apartment,3444,N/A,1,485
165,Deluxe Villa,3444,N/A,1,255
166,One-Bedroom Villa,N/A,N/A,7,"139, 147, 155, 163, 106"
167,Standard Double Room,269,1 full bed,10,61
167,Superior Double Room,323,1 queen bed,10,73
167,Deluxe Double Room,431,1 king bed,10,85
167,Quadruple Room,323,4 twin beds,10,109
168,Two-Bedroom Apartment,624,N/A,16,"118, 217, 220, 119, 218, 221"
169,One-Bedroom Chalet,1615,N/A,14,"161, 172, 184, 195, 207, 218, 230, 149"
170,Three-Bedroom Chalet,1292,N/A,8,"146, 171, 197, 235"
171,Villa with Private Pool,3552,N/A,2,"409, 347"
172,Villa,10764,N/A,1,485
173,One-Bedroom Apartment,334,N/A,6,"55, 61, 52"
174,Two-Bedroom Apartment,861,N/A,1,46
175,Budget Double Room,1,1 queen bed,16,59
175,Suite with Balcony,269,"1 twin bed and, 1 queen bed",16,97
175,Family Suite,700,"1 twin bed and, 1 queen bed",16,110
175,Standard Triple Room,807,1 queen bed,16,84
175,Deluxe Studio,1,"1 twin bed and, 1 queen bed",16,84
175,Three-Bedroom Apartment with Mountain View,377,"1 twin bed and, 1 queen bed",16,197
